ts,total,USDC,Cash_Polymarket
2025-11-04T04:23:27Z,41.0000341741,4.15E-7,41
2025-11-04T04:24:27Z,41.0000341741,4.15E-7,41
2025-11-04T04:25:55Z,41.0000341741,4.15E-7,41
2025-11-04T04:27:03Z,41.0000341741,4.15E-7,41
2025-11-04T04:29:16Z,41.0000341741,4.15E-7,41
2025-11-04T04:31:26Z,41.0000341741,4.15E-7,41
2025-11-04T04:33:27Z,41.0000341741,4.15E-7,41
2025-11-04T04:35:55Z,41.0000341741,4.15E-7,41
2025-11-04T04:37:03Z,41.0000341741,4.15E-7,41
2025-11-04T04:39:16Z,41.0000341741,4.15E-7,41
2025-11-04T04:41:26Z,41.0000341741,4.15E-7,41
2025-11-04T04:43:27Z,41.0000341741,4.15E-7,41
2025-11-04T04:45:55Z,41.0000341741,4.15E-7,41
2025-11-04T04:47:03Z,41.0000341741,4.15E-7,41
2025-11-04T04:49:16Z,41.0000341741,4.15E-7,41
2025-11-04T04:51:26Z,41.0000341741,4.15E-7,41
2025-11-04T04:53:27Z,41.0000341741,4.15E-7,41
2025-11-04T04:55:55Z,41.0000341741,4.15E-7,41
2025-11-04T04:57:03Z,41.0000341741,4.15E-7,41
2025-11-04T04:59:16Z,41.0000341741,4.15E-7,41
2025-11-04T05:01:26Z,41.0000341741,4.15E-7,41
2025-11-04T05:01:58Z,41.0000341741,4.15E-7,41
2025-11-04T05:03:27Z,41.0000341741,4.15E-7,41
2025-11-04T05:05:55Z,41.0000341741,4.15E-7,41
2025-11-04T05:07:04Z,41.0000341741,4.15E-7,41
2025-11-04T05:09:17Z,41.0000341741,4.15E-7,41
2025-11-04T05:11:26Z,41.0000341741,4.15E-7,41
2025-11-04T05:11:59Z,41.0000341741,4.15E-7,41
2025-11-04T05:13:28Z,41.0000341741,4.15E-7,41
2025-11-04T05:15:55Z,41.0000341741,4.15E-7,41
2025-11-04T05:19:17Z,41.0000341741,4.15E-7,41
2025-11-04T05:21:26Z,41.0000341741,4.15E-7,41
2025-11-04T05:21:59Z,41.0000341741,4.15E-7,41
2025-11-04T05:23:28Z,41.0000341741,4.15E-7,41
2025-11-04T05:25:56Z,41.0000341741,4.15E-7,41
2025-11-04T05:29:17Z,41.0000341741,4.15E-7,41
2025-11-04T05:31:27Z,41.0000341741,4.15E-7,41
2025-11-04T05:31:59Z,41.0000341741,4.15E-7,41
2025-11-04T05:33:28Z,41.0000341741,4.15E-7,41
2025-11-04T05:35:56Z,41.0000341741,4.15E-7,41
2025-11-04T05:39:17Z,41.0000341741,4.15E-7,41
